Financial Aid System Applicant ID,Total Tuition,Recommended Award,Rec Award Perc Tuition, Children in Applicants HH,Est Household Contribution,Total Income, Total Available for Tuition, Total Assets,Total Liabilities,Total Net Worth,P1 Alumni Academy,P1 Alumni Camp,P1 Alumni Institute,P1 Alumni All-State,P2 Alumni Academy,P2 Alumni Camp,P2 Alumni All-State,P2:Alumni Institute,Sum Alum,Grade,Primary Arts Area,Aid Total Need,Aid Merit,Aid Inst Grant,Sex,Behavior Review,Academic Review,Health Review,Learning Specialist Review,CAPS Review,Sum Review,Tuition Default,Art Rating,Accepted,Attended Camp,Attended Inst,Attended Sum,Tuition Remander,Total FA,Percent FA,Enrolled
658757,64615,0,0,2,30000,423423,242636,1289190,396841,892349,0,0,0,0,0,0,0,0,0,11,4,0,5000,29615,0,0,0,0,0,0,0,0,3,1,1,0,1,30000,34615,0.5357,1
623823,64615,0,0,2,5000,129634,98248,2044900,145142,1899758,0,0,0,0,0,0,0,0,0,11,5,14000,7000,7000,1,0,0,0,0,0,0,0,3,1,0,0,0,36615,28000,0.4333,0
656029,64615,64615,1,1,0,7878,0,3200,0,3200,0,0,0,0,0,0,0,0,0,11,1,25000,10000,1500,0,0,0,0,0,0,0,0,4,1,1,0,1,28115,36500,0.5649,0
650561,64615,0,0,2,50000,531886,484568,3477072,1379924,2097148,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,1,1,0,1,1,4,0,4,1,0,0,0,64615,0,0,1
655709,64615,0,0,1,35000,71044,72352,1667000,0,1667000,0,0,0,0,0,0,0,0,0,11,3,10000,15000,1000,1,0,1,0,0,0,1,0,5,1,1,0,1,38615,26000,0.4024,1
659806,68685,0,0,1,10000,97318,68827,652900,26714,626186,0,0,0,0,0,0,0,0,0,12,0,0,10000,0,1,0,0,0,0,0,0,0,4,1,1,0,1,58685,10000,0.1456,1
655651,40940,36140,0.8828,1,4800,74746,4800,248017,166897,81120,0,0,0,0,0,0,0,0,0,11,3,17000,15000,0,1,0,0,0,0,0,0,0,5,1,1,0,1,8940,32000,0.7816,1
658852,68685,0,0,1,10000,218000,103787,922200,216000,706200,0,0,0,0,0,0,0,0,0,12,0,9000,7000,42685,1,0,0,0,0,0,0,0,3,1,1,0,1,10000,58685,0.8544,0
660515,64615,0,0,2,1000,231379,144686,1410068,162080,1247988,0,0,0,0,0,0,0,0,0,11,0,0,30000,24615,1,0,0,0,0,0,0,0,5,1,1,0,1,10000,54615,0.8452,1
659212,68685,50611,0.7369,2,5000,112613,18074,12000,2000,10000,0,0,0,0,0,0,0,0,0,12,0,51500,0,0,0,0,1,0,0,0,1,0,2,1,1,0,1,17185,51500,0.7498,1
659012,68685,0,0,1,45000,209691,222780,3751925,313939,3437986,0,0,0,0,0,0,0,0,0,12,0,0,3000,0,0,0,0,0,0,1,1,0,3,1,1,0,1,65685,3000,0.0437,1
647328,68685,68185,0.9927,2,500,14,500,85900,11599,74301,0,0,0,0,0,0,0,0,0,12,0,55500,5000,0,0,0,1,0,0,0,1,0,3,1,0,0,0,8185,60500,0.8808,1
625502,64615,64615,1,1,0,10000,0,5000,12000,-7000,0,0,0,0,0,0,0,0,0,11,0,40000,5000,0,0,1,0,0,0,1,2,0,2,1,0,0,0,19615,45000,0.6964,1
628501,64615,29615,0.4583,1,35000,57237,35000,370000,2500,367500,0,0,0,0,0,0,0,0,0,11,0,0,0,7000,1,0,0,0,0,0,0,0,5,1,0,0,0,57615,7000,0.1083,1
